ccaa;year;pib_per_capita
Andalucía;2010;17567
Andalucía;2011;17299
Andalucía;2012;16597
Andalucía;2013;16381
Andalucía;2014;16600
Andalucía;2015;17458
Andalucía;2016;17865
Andalucía;2017;18691
Andalucía;2018;19291
Andalucía;2019;19744
Andalucía;2020;17772
Andalucía;2021;19591
Andalucía;2022;21495
Andalucía;2023;23218
Aragón;2010;25375
Aragón;2011;25015
Aragón;2012;24008
Aragón;2013;24232
Aragón;2014;24557
Aragón;2015;25185
Aragón;2016;26243
Aragón;2017;27357
Aragón;2018;28281
Aragón;2019;29043
Aragón;2020;27003
Aragón;2021;29144
Aragón;2022;32562
Aragón;2023;34658
Asturias, Principado De;2010;20992
Asturias, Principado De;2011;20706
Asturias, Principado De;2012;19867
Asturias, Principado De;2013;19475
Asturias, Principado De;2014;19588
Asturias, Principado De;2015;20497
Asturias, Principado De;2016;20913
Asturias, Principado De;2017;21897
Asturias, Principado De;2018;22651
Asturias, Principado De;2019;23220
Asturias, Principado De;2020;21069
Asturias, Principado De;2021;23446
Asturias, Principado De;2022;26361
Asturias, Principado De;2023;28130
Balears, Illes;2010;24638
Balears, Illes;2011;24324
Balears, Illes;2012;23810
Balears, Illes;2013;23719
Balears, Illes;2014;24454
Balears, Illes;2015;25732
Balears, Illes;2016;26922
Balears, Illes;2017;28001
Balears, Illes;2018;28906
Balears, Illes;2019;29458
Balears, Illes;2020;22611
Balears, Illes;2021;25807
Balears, Illes;2022;30997
Balears, Illes;2023;34381
Canarias;2010;19355
Canarias;2011;19099
Canarias;2012;18317
Canarias;2013;18160
Canarias;2014;18268
Canarias;2015;18881
Canarias;2016;19450
Canarias;2017;20296
Canarias;2018;20853
Canarias;2019;21159
Canarias;2020;17239
Canarias;2021;19021
Canarias;2022;22096
Canarias;2023;24345
Cantabria;2010;21850
Cantabria;2011;21435
Cantabria;2012;20691
Cantabria;2013;20299
Cantabria;2014;20747
Cantabria;2015;21329
Cantabria;2016;22072
Cantabria;2017;22922
Cantabria;2018;23818
Cantabria;2019;24515
Cantabria;2020;22279
Cantabria;2021;24303
Cantabria;2022;26505
Cantabria;2023;28461
Castilla - La Mancha;2010;18864
Castilla - La Mancha;2011;18569
Castilla - La Mancha;2012;17941
Castilla - La Mancha;2013;17720
Castilla - La Mancha;2014;17480
Castilla - La Mancha;2015;18499
Castilla - La Mancha;2016;19149
Castilla - La Mancha;2017;20043
Castilla - La Mancha;2018;20811
Castilla - La Mancha;2019;21264
Castilla - La Mancha;2020;19675
Castilla - La Mancha;2021;21515
Castilla - La Mancha;2022;24005
Castilla - La Mancha;2023;25758
Castilla Y León;2010;21487
Castilla Y León;2011;21378
Castilla Y León;2012;20823
Castilla Y León;2013;20474
Castilla Y León;2014;20694
Castilla Y León;2015;21600
Castilla Y León;2016;22369
Castilla Y León;2017;23076
Castilla Y León;2018;24216
Castilla Y León;2019;24849
Castilla Y León;2020;22934
Castilla Y León;2021;25020
Castilla Y León;2022;27382
Castilla Y León;2023;29698
Cataluña;2010;27096
Cataluña;2011;26644
Cataluña;2012;25937
Cataluña;2013;25928
Cataluña;2014;26551
Cataluña;2015;27806
Cataluña;2016;28781
Cataluña;2017;29770
Cataluña;2018;30525
Cataluña;2019;31300
Cataluña;2020;27796
Cataluña;2021;30360
Cataluña;2022;33041
Cataluña;2023;35325
Comunitat Valenciana;2010;20419
Comunitat Valenciana;2011;20069
Comunitat Valenciana;2012;19171
Comunitat Valenciana;2013;19137
Comunitat Valenciana;2014;19641
Comunitat Valenciana;2015;20500
Comunitat Valenciana;2016;21110
Comunitat Valenciana;2017;21996
Comunitat Valenciana;2018;22723
Comunitat Valenciana;2019;23248
Comunitat Valenciana;2020;20980
Comunitat Valenciana;2021;22944
Comunitat Valenciana;2022;24736
Comunitat Valenciana;2023;26453
Extremadura;2010;16950
Extremadura;2011;16560
Extremadura;2012;15953
Extremadura;2013;16028
Extremadura;2014;16053
Extremadura;2015;16993
Extremadura;2016;17616
Extremadura;2017;18761
Extremadura;2018;19368
Extremadura;2019;19863
Extremadura;2020;18351
Extremadura;2021;20363
Extremadura;2022;21932
Extremadura;2023;23604
Galicia;2010;20488
Galicia;2011;20139
Galicia;2012;19541
Galicia;2013;19636
Galicia;2014;19876
Galicia;2015;20934
Galicia;2016;21594
Galicia;2017;22433
Galicia;2018;23212
Galicia;2019;23901
Galicia;2020;21864
Galicia;2021;23927
Galicia;2022;26483
Galicia;2023;28644
Madrid, Comunidad De;2010;31059
Madrid, Comunidad De;2011;31147
Madrid, Comunidad De;2012;30566
Madrid, Comunidad De;2013;30264
Madrid, Comunidad De;2014;30776
Madrid, Comunidad De;2015;32275
Madrid, Comunidad De;2016;33350
Madrid, Comunidad De;2017;34592
Madrid, Comunidad De;2018;35601
Madrid, Comunidad De;2019;36613
Madrid, Comunidad De;2020;32853
Madrid, Comunidad De;2021;35703
Madrid, Comunidad De;2022;39207
Madrid, Comunidad De;2023;42198
Murcia, Región De;2010;19479
Murcia, Región De;2011;18957
Murcia, Región De;2012;18444
Murcia, Región De;2013;18502
Murcia, Región De;2014;18606
Murcia, Región De;2015;19901
Murcia, Región De;2016;20402
Murcia, Región De;2017;21128
Murcia, Región De;2018;21393
Murcia, Región De;2019;22015
Murcia, Región De;2020;20108
Murcia, Región De;2021;22087
Murcia, Región De;2022;24334
Murcia, Región De;2023;25887
Navarra, Comunidad Foral De;2010;28487
Navarra, Comunidad Foral De;2011;28279
Navarra, Comunidad Foral De;2012;27184
Navarra, Comunidad Foral De;2013;27213
Navarra, Comunidad Foral De;2014;27704
Navarra, Comunidad Foral De;2015;28761
Navarra, Comunidad Foral De;2016;29556
Navarra, Comunidad Foral De;2017;30631
Navarra, Comunidad Foral De;2018;31190
Navarra, Comunidad Foral De;2019;32136
Navarra, Comunidad Foral De;2020;28987
Navarra, Comunidad Foral De;2021;31486
Navarra, Comunidad Foral De;2022;34749
Navarra, Comunidad Foral De;2023;37088
País Vasco;2010;29538
País Vasco;2011;29261
País Vasco;2012;28589
País Vasco;2013;28277
País Vasco;2014;28843
País Vasco;2015;29962
País Vasco;2016;30833
País Vasco;2017;31891
País Vasco;2018;32835
País Vasco;2019;33590
País Vasco;2020;30115
País Vasco;2021;32898
País Vasco;2022;36421
País Vasco;2023;39547
Rioja, La;2010;25035
Rioja, La;2011;24748
Rioja, La;2012;23961
Rioja, La;2013;23898
Rioja, La;2014;24586
Rioja, La;2015;25594
Rioja, La;2016;25713
Rioja, La;2017;26585
Rioja, La;2018;27470
Rioja, La;2019;28040
Rioja, La;2020;25654
Rioja, La;2021;27365
Rioja, La;2022;30260
Rioja, La;2023;32828
